Source;Target;Weight
0;10223;100.0
0;13336;100.0
0;16185;100.0
0;3739;100.0
0;7211;100.0
2;13267;100.0
2;13336;100.0
2;16185;100.0
2;3739;100.0
2;7211;100.0
3;10223;100.0
3;13336;100.0
3;15131;1.0
3;16185;100.0
3;3739;100.0
3;7211;100.0
4;13267;100.0
4;13336;100.0
4;16185;100.0
4;3739;100.0
4;7211;100.0
5;10223;100.0
5;13336;100.0
5;16185;100.0
5;3739;100.0
5;7211;100.0
7;13267;100.0
7;13336;100.0
7;16185;100.0
7;3739;100.0
7;7211;100.0
8;10223;100.0
8;10688;10.0
8;13247;0.0
8;13336;100.0
8;13490;0.0
8;14927;0.0
8;15337;0.0
8;15704;0.0
8;16185;100.0
8;16324;10.0
8;16623;10.0
8;2027;1.0
8;3090;1.0
8;3739;100.0
8;4881;10.0
8;5132;0.0
8;6991;10.0
8;7211;100.0
9;10223;100.0
9;13336;100.0
9;16185;100.0
9;3739;100.0
9;7211;100.0
10;10223;100.0
10;13336;100.0
10;16185;100.0
10;3739;100.0
10;7211;100.0
11;10223;100.0
11;13336;100.0
11;16185;100.0
11;3739;100.0
11;5127;100.0
11;6175;100.0
11;7211;100.0
12;13267;100.0
12;13336;100.0
12;16185;100.0
12;3739;100.0
12;7211;100.0
13;13336;100.0
13;16185;100.0
13;3739;100.0
13;7211;100.0
14;13267;100.0
14;13336;100.0
14;16185;100.0
14;3739;100.0
14;7211;100.0
15;10223;100.0
15;13336;100.0
15;16185;100.0
15;3739;100.0
15;7211;100.0
16;13336;100.0
16;16185;100.0
16;3739;100.0
16;7211;100.0
18;13336;100.0
18;16185;100.0
18;3739;100.0
18;7211;100.0
19;13336;100.0
19;16185;100.0
19;3739;100.0
19;7211;100.0
20;13336;100.0
20;16185;100.0
20;3739;100.0
20;7211;100.0
21;13267;100.0
21;13336;100.0
21;16185;100.0
21;3739;100.0
21;7211;100.0
22;10223;100.0
22;13336;100.0
22;16185;100.0
22;3739;100.0
22;7211;100.0
23;13336;100.0
23;16185;100.0
23;3739;100.0
23;7211;100.0
24;13336;100.0
24;16185;100.0
24;3348;75.0
24;3739;100.0
24;7211;100.0
24;8836;95.0
24;9513;100.0
25;10223;100.0
25;13336;100.0
25;16185;100.0
25;3521;0.0
25;3739;100.0
25;410;0.0
25;7211;100.0
26;13336;100.0
26;16185;100.0
26;3739;100.0
26;7211;100.0
27;10223;100.0
27;10442;0.0
27;10583;0.0
27;11953;0.0
27;13336;100.0
27;14236;0.0
27;149;0.0
27;15155;0.0
27;15248;0.0
27;16185;100.0
27;16613;0.0
27;3739;100.0
27;4082;0.0
27;4607;0.0
27;5318;75.0
27;707;0.0
27;7211;100.0
27;8413;0.0
27;8485;0.0
29;10223;100.0
29;13336;100.0
29;16185;100.0
29;3739;100.0
29;7211;100.0
30;13267;100.0
30;13336;100.0
30;16185;100.0
30;3739;100.0
30;7211;100.0
31;13267;100.0
31;13336;100.0
31;16185;100.0
31;3739;100.0
31;7211;100.0
32;13336;100.0
32;16185;100.0
32;3739;100.0
32;7211;100.0
33;10223;100.0
33;10281;0.0
33;12426;0.0
33;12773;0.0
33;13336;100.0
33;14627;0.0
33;15206;0.0
33;16185;100.0
33;16229;0.0
33;16431;0.0
33;16446;0.0
33;3739;100.0
33;3962;0.0
33;4067;0.0
33;4282;0.0
33;4926;0.0
33;5857;0.0
33;5868;0.0
33;7189;0.0
33;7211;100.0
33;8288;0.0
33;8370;0.0
33;9871;0.0
34;11670;75.0
34;12800;0.0
34;13267;100.0
34;13336;100.0
34;14453;0.0
34;16045;0.0
34;16185;100.0
34;3739;100.0
34;6073;0.0
34;6483;0.0
34;7211;100.0
34;9213;0.0
34;9262;75.0
35;10223;100.0
35;13336;100.0
35;16185;100.0
35;3739;100.0
35;7211;100.0
36;10223;100.0
36;13336;100.0
36;16185;100.0
36;3739;100.0
36;7211;100.0
38;13267;100.0
38;13336;100.0
38;16185;100.0
38;3739;100.0
38;7211;100.0
39;10223;100.0
39;13336;100.0
39;16185;100.0
39;3739;100.0
39;7211;100.0
39;8151;10.0
40;13336;100.0
40;16185;100.0
40;3739;100.0
40;7211;100.0
41;13267;100.0
41;13336;100.0
41;16185;100.0
41;3739;100.0
41;7211;100.0
43;13336;100.0
43;16185;100.0
43;3739;100.0
43;7211;100.0
44;13336;100.0
44;16185;100.0
44;3739;100.0
44;7211;100.0
45;10011;33.0
45;10106;0.0
45;10756;0.0
45;10992;0.0
45;11448;0.0
45;11770;0.0
45;12971;0.0
45;13264;0.0
45;13293;0.0
45;13629;12.0
45;13996;0.0
45;14140;0.0
45;14437;0.0
45;14742;0.0
45;1499;0.0
45;15099;0.0
45;15309;0.0
45;16101;0.0
45;16185;100.0
45;1700;0.0
45;1704;0.0
45;2334;0.0
45;2922;0.0
45;2939;0.0
45;3191;0.0
45;3521;0.0
45;3833;0.0
45;3907;0.0
45;4227;0.0
45;4331;0.0
45;4739;33.0
45;4788;0.0
45;5346;0.0
45;5675;0.0
45;5839;0.0
45;622;0.0
45;6312;0.0
45;6565;0.0
45;7211;100.0
45;7311;0.0
45;755;0.0
45;8423;0.0
45;8489;0.0
45;8578;0.0
45;9177;0.0
45;9250;0.0
45;9460;33.0
45;9617;0.0
45;9770;0.0
46;10223;100.0
46;10601;100.0
46;10684;100.0
46;10867;35.0
46;10987;35.0
46;11053;25.0
46;11226;25.0
46;11282;100.0
46;11323;100.0
46;11364;100.0
46;11719;100.0
46;11866;100.0
46;12728;65.0
46;12846;100.0
46;13175;100.0
46;13267;100.0
46;13279;100.0
46;13303;100.0
46;13336;100.0
46;13834;50.0
46;14123;100.0
46;14207;100.0
46;1438;100.0
46;14559;75.0
46;14876;100.0
46;15180;100.0
46;15268;100.0
46;15522;100.0
46;16185;100.0
46;16190;50.0
46;16577;100.0
46;1683;100.0
46;2009;50.0
46;2104;100.0
46;2334;50.0
46;2382;100.0
46;242;100.0
46;2439;100.0
46;2576;100.0
46;3107;100.0
46;3348;20.0
46;3517;100.0
46;3651;100.0
46;3739;100.0
46;3918;100.0
46;4126;100.0
46;4320;100.0
46;455;50.0
46;4746;100.0
46;4784;100.0
46;5295;100.0
46;5342;35.0
46;5836;100.0
46;5961;100.0
46;6148;100.0
46;6338;65.0
46;6375;100.0
46;6536;100.0
46;6625;25.0
46;688;100.0
46;7211;100.0
46;7447;100.0
46;765;100.0
46;7663;100.0
46;7780;50.0
46;8169;100.0
46;8241;100.0
46;8413;100.0
46;8923;100.0
46;9051;100.0
46;9134;100.0
46;9481;100.0
46;9561;35.0
47;10223;100.0
47;13336;100.0
47;16185;100.0
47;3739;100.0
47;7211;100.0
48;10223;100.0
48;10684;75.0
48;12725;0.0
48;13254;-1.0
48;13336;100.0
48;13952;0.0
48;15199;0.0
48;15206;0.0
48;15420;0.0
48;16185;100.0
48;16431;0.0
48;3229;0.0
48;3739;100.0
48;3909;0.0
48;4483;0.0
48;5070;0.0
48;5779;0.0
48;6138;0.0
48;6739;0.0
48;7211;100.0
48;7889;0.0
48;846;0.0
49;10223;100.0
49;13336;100.0
49;16185;100.0
49;3739;100.0
49;7211;100.0
50;10223;100.0
50;13336;100.0
50;16185;100.0
50;3739;100.0
50;7211;100.0
51;13336;100.0
51;16185;100.0
51;3739;100.0
51;7211;100.0
51;8443;25.0
52;13336;100.0
52;16185;100.0
52;3739;100.0
52;7211;100.0
53;10223;100.0
53;11158;0.0
53;11799;0.0
53;13336;100.0
53;13603;0.0
53;16185;100.0
53;16543;0.0
53;1939;10.0
53;3231;0.0
53;3739;100.0
53;4972;10.0
53;7211;100.0
53;729;0.0
53;7500;0.0
53;9548;0.0
54;10268;0.0
54;11041;0.0
54;13427;0.0
54;14774;0.0
54;16028;0.0
54;16062;0.0
54;16185;100.0
54;1729;0.0
54;1850;0.0
54;3366;0.0
54;3994;0.0
54;7211;100.0
54;8222;0.0
54;993;0.0
55;11491;-100.0
55;12306;-100.0
55;13267;100.0
55;13336;100.0
55;14134;100.0
55;14997;-100.0
55;16185;100.0
55;2104;-100.0
55;3739;100.0
55;6596;-100.0
55;7211;100.0
55;8374;-33.0
57;13267;100.0
57;13336;100.0
57;16185;100.0
57;3739;100.0
57;7211;100.0
58;13267;100.0
58;13336;100.0
58;16185;100.0
58;3739;100.0
58;7211;100.0
59;10223;100.0
59;13336;100.0
59;16185;100.0
59;3739;100.0
59;7211;100.0
60;10223;100.0
60;13336;100.0
60;16185;100.0
60;3739;100.0
60;7211;100.0
61;13267;100.0
61;13336;100.0
61;16185;100.0
61;3739;100.0
61;7211;100.0
62;13336;100.0
62;16185;100.0
62;3739;100.0
62;7211;100.0
63;1130;100.0
63;13267;100.0
63;13336;100.0
63;16185;100.0
63;2104;100.0
63;3739;100.0
63;7211;100.0
64;1130;100.0
64;13267;100.0
64;13336;100.0
64;16185;100.0
64;3739;100.0
64;63;100.0
64;7211;100.0
65;13336;100.0
65;16185;100.0
65;3739;100.0
65;7211;100.0
66;13267;100.0
66;13336;100.0
66;16185;100.0
66;3739;100.0
66;7211;100.0
67;13336;100.0
67;16185;100.0
67;3739;100.0
67;7211;100.0
68;13267;100.0
68;13336;100.0
68;16185;100.0
68;3739;100.0
68;7211;100.0
69;13336;100.0
69;16185;100.0
69;3739;100.0
69;7211;100.0
70;13336;100.0
70;16185;100.0
70;3739;100.0
70;7211;100.0
71;13267;100.0
71;13336;100.0
71;16185;100.0
71;3739;100.0
71;7211;100.0
72;10223;100.0
72;13336;100.0
72;16185;100.0
72;3739;100.0
72;7211;100.0
73;13267;100.0
73;13336;100.0
73;16185;100.0
